X,Y1,x2,Y2,X3,Y3,Y1_ruido,Y2_ruido,Y3_ruido
-1,5,-4,-14,-1,8,6.29,-14.97,6.28
-0.98,4.604,-3.96,-13.8584,-0.97,7.299665,5.704,-12.6684,8.619665
-0.96,4.216,-3.92,-13.7136,-0.94,6.63812,5.656,-13.9036,6.84812
-0.94,3.836,-3.88,-13.5656,-0.91,6.014555,4.636,-15.2456,4.204555
-0.92,3.464,-3.84,-13.4144,-0.88,5.42816,1.674,-12.3344,4.66816
-0.9,3.1,-3.8,-13.26,-0.85,4.878125,2.4,-12.77,6.308125
-0.88,2.744,-3.76,-13.1024,-0.82,4.36364,4.334,-11.8224,4.69364
-0.86,2.396,-3.72,-12.9416,-0.79,3.883895,1.076,-12.2716,4.593895
-0.84,2.056,-3.68,-12.7776,-0.76,3.43808,3.546,-13.1476,1.48808
-0.82,1.724,-3.64,-12.6104,-0.73,3.025385,2.064,-11.5804,1.575385
-0.8,1.4,-3.6,-12.44,-0.7,2.645,1.19,-11.41,4.395
-0.78,1.084,-3.56,-12.2664,-0.67,2.296115,-0.526,-13.4864,1.316115
-0.76,0.776,-3.52,-12.0896,-0.64,1.97792,2.036,-13.4996,2.64792
-0.74,0.476,-3.48,-11.9096,-0.61,1.689605,-0.904,-11.8396,0.459605
-0.72,0.184,-3.44,-11.7264,-0.58,1.43036,-1.716,-10.9064,-0.04964
-0.7,-0.1,-3.4,-11.54,-0.55,1.199375,-1.25,-10.66,2.619375
-0.68,-0.376,-3.36,-11.3504,-0.52,0.99584,-0.436,-10.4004,1.72584
-0.66,-0.644,-3.32,-11.1576,-0.49,0.818945,-2.364,-11.9676,0.708945
-0.64,-0.904,-3.28,-10.9616,-0.46,0.66788,-1.024,-11.5216,2.16788
-0.62,-1.156,-3.24,-10.7624,-0.43,0.541835,0.364,-11.5624,1.571835
-0.6,-1.4,-3.2,-10.56,-0.4,0.44,-1.81,-11.61,-0.21
-0.58,-1.636,-3.16,-10.3544,-0.37,0.361565,-3.326,-9.5444,1.011565
